HouseholdSurvey.earninc_hihsp,HouseholdSurvey.hihage,HouseholdSurvey.hihgender,HouseholdSurvey.hihecon,HouseholdSurvey.specon,HouseholdSurvey.age_1,HouseholdSurvey.hhwork,HouseholdSurvey.hedqual8,HouseholdSurvey.nssec2,HouseholdSurvey.seg,HouseholdSurvey.tothinc,HouseholdSurvey.ha7_1,HouseholdSurvey.hb509,HouseholdSurvey.save1,HouseholdSurvey.credit109a,HouseholdSurvey.credit309c,HouseholdSurvey.hcost_amt,HouseholdSurvey.hk2
60000,48,1,2,NA,10,1,4,1,5,8,2,1,NA,NA,NA,1000,1
0,67,1,5,5,14,5,4,2,2,6,5,2,NA,NA,NA,NA,2
13000,22,1,2,6,5,4,NA,1,4,3,2,1,3,0,0,400,2
0,75,2,5,NA,15,2,5,9,17,5,5,2,NA,NA,NA,NA,1
24000,63,1,13,NA,13,2,3,4,12,8,1,2,3,1,0,NA,4
0,72,2,5,5,15,5,1,9,17,6,5,2,3,0,0,NA,1
0,72,2,5,NA,15,2,5,9,17,4,5,4,NA,NA,NA,400,5
0,69,1,5,5,14,5,4,9,17,3,5,2,3,0,0,NA,3
59000,50,2,2,2,10,3,3,1,1,8,2,2,3,0,0,NA,1
62000,52,1,2,3,11,3,2,1,4,8,3,2,NA,NA,NA,NA,2
49000,29,2,2,2,6,3,3,3,6,8,2,1,NA,NA,NA,490,3
0,62,1,6,NA,13,2,2,9,17,5,6,2,NA,NA,NA,NA,2
62000,44,1,2,NA,9,1,4,2,6,8,2,2,3,0,0,NA,1
25000,53,1,1,NA,11,1,2,4,2,5,1,4,3,1,0,550,3
0,76,1,5,5,16,5,5,9,17,3,5,2,3,0,0,NA,2
0,52,1,10,NA,11,2,4,9,17,3,10,4,3,0,0,500,5
62000,44,1,1,2,9,3,4,4,12,8,1,1,NA,NA,NA,1000,2
28000,51,1,2,3,11,3,6,7,11,6,2,1,NA,NA,NA,700,3
45000,49,1,2,3,10,3,4,1,4,8,2,1,3,0,0,550,2
0,53,2,13,NA,11,2,6,7,11,2,13,4,NA,NA,NA,350,5
0,67,1,5,5,14,5,4,1,4,5,5,2,3,1,0,NA,1
23000,27,2,1,2,7,3,1,4,12,5,2,4,NA,NA,NA,350,4
23000,49,1,2,3,10,3,3,3,6,5,2,4,3,0,0,400,2
0,79,2,5,NA,16,2,6,9,17,3,5,3,3,1,0,330,3
0,23,2,4,NA,5,2,6,9,17,3,4,4,1,0,0,350,4
0,26,1,8,NA,6,2,4,9,17,NA,8,4,NA,NA,NA,680,3
17000,38,2,2,NA,8,1,2,3,6,5,2,4,1,1,0,400,4
0,83,1,5,5,17,5,6,9,17,4,5,4,NA,NA,NA,390,3
0,70,1,5,NA,14,2,4,9,17,5,5,2,3,0,0,NA,2
20000,50,2,2,NA,10,1,1,2,2,5,2,1,3,0,0,570,1
60000,38,1,2,2,8,3,NA,2,5,8,2,1,3,1,0,700,3
0,79,1,5,5,16,5,3,9,17,4,5,2,NA,NA,NA,NA,1
0,74,2,5,5,15,5,5,9,17,7,5,2,3,0,0,NA,2
38000,56,1,2,1,12,3,1,5,9,7,2,2,NA,NA,NA,NA,3
0,81,2,5,5,17,5,2,9,17,5,5,2,NA,NA,NA,NA,2
62000,36,2,2,2,8,3,5,2,6,8,2,1,NA,NA,NA,420,2
0,77,2,5,NA,16,2,1,9,17,2,5,2,NA,NA,NA,NA,2
0,76,1,5,5,15,5,3,5,9,6,5,2,NA,NA,NA,NA,1
0,76,1,5,5,15,5,1,9,17,7,5,4,NA,NA,NA,350,2
23000,61,1,5,1,13,4,2,2,2,8,1,2,NA,NA,NA,NA,1
48000,46,1,2,3,9,3,4,3,6,8,3,1,3,1,0,900,2
0,86,1,5,NA,18,2,7,9,17,5,5,4,NA,NA,NA,600,2
38000,56,1,2,3,12,3,4,1,5,7,2,1,3,1,0,1000,2
56000,46,1,2,3,10,3,1,2,2,8,2,1,NA,NA,NA,1000,3
48000,37,1,2,2,6,3,4,3,9,8,2,4,3,1,0,700,3
58000,51,1,2,3,9,3,5,7,11,8,3,4,NA,NA,NA,650,3
10000,29,2,2,NA,6,1,1,5,8,4,2,4,NA,NA,NA,380,3
17000,40,2,2,10,12,4,6,5,8,6,10,4,NA,NA,NA,400,3
0,24,1,8,NA,5,2,4,6,10,1,8,4,NA,NA,NA,400,3
0,59,1,5,NA,12,2,4,2,5,3,5,2,NA,NA,NA,NA,3
6000,27,1,1,NA,6,1,3,4,12,1,1,2,NA,NA,NA,NA,4
62000,33,1,2,2,6,3,4,2,5,8,2,4,3,1,0,500,1
5000,27,1,8,8,6,5,3,9,17,4,8,4,NA,NA,NA,500,3
52000,30,1,2,NA,6,1,4,5,10,8,2,1,3,1,0,500,1
46000,27,2,2,NA,6,1,2,5,9,8,2,1,NA,NA,NA,600,2
54000,54,1,2,2,11,3,4,6,10,8,2,1,NA,NA,NA,500,1
8000,21,2,8,NA,5,2,2,2,5,2,8,4,NA,NA,NA,300,2
44000,28,2,2,2,6,3,4,1,5,8,2,4,NA,NA,NA,680,1
0,23,2,8,NA,5,2,2,6,10,2,8,4,3,0,0,480,1
0,22,2,8,8,5,5,4,9,17,3,8,4,NA,NA,NA,580,3
30000,33,1,2,NA,7,1,4,6,10,6,2,3,NA,NA,NA,240,2
0,73,1,5,5,15,5,6,9,17,4,5,2,NA,NA,NA,NA,2
0,78,1,5,NA,16,2,4,9,17,4,5,2,3,1,0,NA,2
0,34,1,6,6,7,5,4,9,17,NA,6,4,NA,NA,NA,500,6
50000,30,1,2,NA,6,1,3,5,9,8,2,1,3,0,0,900,2
19000,27,1,2,4,6,4,4,7,7,5,2,1,3,1,0,600,1
0,86,2,5,NA,18,2,6,9,17,3,5,4,NA,NA,NA,320,2
0,43,1,10,NA,9,2,6,9,17,2,10,4,NA,NA,NA,280,4
28000,56,1,2,6,12,4,6,7,9,6,2,2,NA,NA,NA,NA,1
0,72,2,5,NA,15,2,1,9,17,4,5,4,1,0,0,500,3
7000,24,2,3,NA,5,1,1,6,10,5,3,4,NA,NA,NA,330,1
32000,41,1,2,2,9,3,1,7,9,7,2,4,3,1,0,350,1
24000,26,2,2,NA,6,1,2,3,6,5,2,1,NA,NA,NA,500,3
27000,33,1,2,4,7,4,4,3,5,6,4,1,NA,NA,NA,670,3
14000,51,1,2,NA,11,1,1,6,10,3,2,1,NA,NA,NA,400,4
0,42,2,10,NA,9,2,6,9,17,4,10,4,NA,NA,NA,300,2
2000,29,2,3,8,6,4,3,3,6,4,3,4,NA,NA,NA,320,3
23000,30,1,2,NA,6,1,3,2,2,5,2,4,NA,NA,NA,300,2
1000,51,2,4,NA,11,2,6,3,6,3,4,4,NA,NA,NA,430,4
29000,28,1,3,3,6,3,4,6,10,8,3,4,NA,NA,NA,530,3
13000,40,2,2,NA,8,1,6,6,10,3,2,4,1,0,0,370,3
24000,37,1,2,4,7,4,1,5,8,6,4,1,3,1,0,520,2
0,73,1,5,NA,15,2,2,9,17,3,5,2,3,0,0,NA,3
0,86,1,5,5,18,5,4,9,17,4,5,2,NA,NA,NA,NA,3
0,77,1,5,NA,16,2,6,9,17,4,5,4,NA,NA,NA,470,3
0,74,1,5,5,15,5,5,9,17,4,5,2,NA,NA,NA,NA,2
0,71,1,5,NA,15,2,4,2,5,5,5,4,NA,NA,NA,540,1
53000,37,1,2,2,8,3,4,2,6,8,2,4,NA,NA,NA,550,2
14000,35,2,2,NA,7,1,4,3,6,3,2,4,NA,NA,NA,430,3
0,81,1,5,NA,17,2,6,9,17,6,5,4,NA,NA,NA,480,5
33000,36,1,1,NA,8,1,2,4,12,7,1,4,3,0,0,390,3
56000,58,1,2,2,12,3,4,7,11,8,2,1,NA,NA,NA,900,3
32000,36,1,2,2,8,3,4,5,8,7,2,4,3,0,0,330,1
0,24,1,8,NA,5,2,2,2,6,NA,8,4,NA,NA,NA,360,3
0,33,2,4,NA,7,2,6,9,17,4,4,4,NA,NA,NA,390,4
46000,30,1,2,4,6,4,4,3,6,8,2,1,NA,NA,NA,580,2
62000,49,1,2,2,10,3,2,2,12,8,2,1,3,0,0,1000,2
62000,39,1,2,2,8,3,4,1,4,8,2,1,NA,NA,NA,1000,1
0,20,2,4,NA,4,2,6,3,6,4,4,4,1,0,0,270,3
0,86,1,5,NA,18,2,6,9,17,2,5,4,NA,NA,NA,350,3
0,35,2,6,6,9,5,1,9,17,2,6,4,NA,NA,NA,500,5
0,48,2,10,NA,10,2,6,9,17,5,10,4,NA,NA,NA,400,3
17000,33,1,2,4,7,4,6,7,9,4,4,4,NA,NA,NA,440,3
16000,32,2,2,NA,7,1,4,2,5,4,2,1,3,1,0,250,2
21000,26,1,1,NA,6,1,NA,1,3,5,1,4,NA,NA,NA,500,3
0,56,1,10,NA,12,2,2,9,17,7,10,4,3,0,0,250,3
20000,50,1,2,5,10,4,4,2,5,8,2,2,3,0,0,NA,2
30000,59,2,2,NA,12,1,4,1,4,6,2,4,NA,NA,NA,450,2
0,25,2,8,NA,5,2,4,2,5,2,8,4,NA,NA,NA,500,5
26000,33,1,2,NA,7,1,4,1,4,6,2,1,NA,NA,NA,260,3
0,23,2,8,NA,5,2,3,9,17,1,8,4,NA,NA,NA,650,2
0,36,2,8,8,7,5,4,9,17,NA,8,4,3,0,0,680,3
0,67,1,5,NA,14,2,NA,9,17,4,5,3,NA,NA,NA,240,1
5000,29,2,8,NA,6,2,4,1,4,3,8,4,NA,NA,NA,500,3
0,46,1,6,NA,10,2,3,2,5,2,6,4,NA,NA,NA,340,5
18000,47,2,2,NA,10,1,1,5,8,4,2,4,NA,NA,NA,350,3
40000,37,1,2,2,8,3,6,3,5,7,2,4,NA,NA,NA,360,3
14000,27,1,2,8,5,4,2,2,5,6,8,4,NA,NA,NA,700,2
0,56,1,10,NA,12,2,3,2,5,2,10,4,NA,NA,NA,340,5
15000,26,1,3,NA,6,1,4,7,7,4,3,4,2,0,0,400,3
34000,43,1,2,2,9,3,2,2,2,7,2,4,2,1,0,850,2
36000,31,1,2,NA,7,1,4,1,4,7,2,1,3,0,0,700,1
12000,52,2,2,NA,11,1,2,7,11,3,2,4,2,0,0,650,3
0,21,2,8,NA,5,2,4,9,17,NA,8,4,NA,NA,NA,620,3
10000,62,1,3,NA,13,1,6,7,11,3,3,1,NA,NA,NA,240,2
0,28,2,4,11,6,5,3,9,17,5,4,4,NA,NA,NA,370,3
13000,46,1,2,4,6,4,6,7,9,5,4,4,3,0,0,350,3
0,75,2,5,NA,15,2,5,9,17,3,5,4,NA,NA,NA,340,2
35000,32,1,2,4,7,4,6,5,9,7,4,4,NA,NA,NA,430,3
0,30,2,4,NA,6,2,1,6,7,3,4,4,NA,NA,NA,320,5
0,72,1,5,5,14,5,6,9,17,4,5,4,5,0,0,390,1
0,79,1,5,NA,16,2,6,9,17,1,5,4,1,0,0,400,3
0,46,2,11,NA,10,2,6,9,17,3,11,4,NA,NA,NA,350,6
0,54,2,10,NA,11,2,6,9,17,3,10,4,NA,NA,NA,320,4
0,78,1,5,NA,16,2,4,9,17,2,5,2,NA,NA,NA,NA,3
0,71,1,5,5,15,5,4,1,4,NA,5,2,NA,NA,NA,NA,2
34000,36,1,2,2,7,3,4,6,6,7,2,1,3,1,0,590,2
0,32,2,10,NA,7,2,1,9,17,4,10,4,1,0,0,330,4
0,75,1,5,5,15,5,6,9,17,4,5,2,NA,NA,NA,NA,3
0,83,1,5,NA,17,2,6,9,17,2,5,2,NA,NA,NA,NA,3
35000,58,2,2,2,12,3,2,6,10,7,2,4,NA,NA,NA,370,1
13000,33,1,2,NA,7,1,1,7,9,3,2,4,NA,NA,NA,550,3
0,71,1,5,NA,15,2,4,9,17,4,5,4,NA,NA,NA,350,3
16000,21,1,2,8,5,4,1,5,9,4,2,4,NA,NA,NA,520,1
27000,45,2,2,NA,9,1,4,4,12,6,2,4,3,1,0,1000,1
62000,27,1,2,2,6,3,4,1,4,8,2,1,NA,NA,NA,400,2
32000,48,1,2,NA,10,1,4,1,4,7,2,2,NA,NA,NA,NA,1
17000,43,1,2,NA,9,1,1,6,10,4,2,4,NA,NA,NA,370,3
19000,22,2,2,NA,5,1,4,1,4,4,2,4,3,0,0,580,2
0,24,1,8,NA,5,2,4,9,17,NA,8,4,NA,NA,NA,400,2
20000,25,1,2,NA,5,1,4,1,4,4,2,4,NA,NA,NA,450,1
33000,34,1,2,4,7,4,4,2,5,7,2,4,NA,NA,NA,600,2
62000,46,1,2,2,10,3,3,4,12,8,2,1,NA,NA,NA,1000,2
22000,68,1,3,2,14,3,4,1,3,5,3,2,NA,NA,NA,NA,1
18000,27,1,2,NA,6,1,4,2,5,4,2,4,3,0,0,700,3
41000,30,1,2,3,6,3,4,2,5,8,2,1,1,1,0,550,3
22000,45,2,1,NA,9,1,2,4,12,5,1,1,NA,NA,NA,380,3
0,70,2,5,NA,14,2,2,3,6,3,5,2,NA,NA,NA,NA,3
0,35,2,4,NA,7,2,1,9,17,4,4,4,1,0,0,390,3
0,70,2,5,NA,14,2,6,9,17,4,5,2,NA,NA,NA,NA,1
40000,38,1,3,2,8,3,4,6,10,8,2,1,NA,NA,NA,250,3
34000,47,1,2,3,9,3,3,6,10,7,3,1,3,1,0,450,2
0,64,2,5,NA,13,2,1,9,17,NA,5,4,3,1,0,370,4
0,75,2,5,5,15,5,4,9,17,1,5,2,NA,NA,NA,NA,1
0,69,1,5,5,14,5,5,9,17,1,5,2,3,1,0,NA,2
0,68,2,5,10,14,5,6,3,6,4,5,2,NA,NA,NA,NA,1
0,59,2,5,NA,12,2,2,9,17,NA,5,2,3,1,0,NA,2
0,69,1,5,NA,14,2,5,9,17,3,5,2,NA,NA,NA,NA,5
0,82,2,5,NA,17,2,6,9,17,1,5,4,4,0,0,350,2
5000,69,1,3,5,14,4,1,7,9,3,3,2,NA,NA,NA,NA,3
0,58,1,2,4,11,4,3,9,17,NA,4,4,3,1,0,360,3
19000,53,2,3,NA,11,1,2,2,5,5,3,4,3,0,0,950,5
14000,27,2,8,2,6,4,6,9,17,5,2,4,NA,NA,NA,450,3
62000,51,1,2,2,10,3,4,1,4,8,2,1,3,0,0,1000,1
62000,47,2,2,2,10,3,4,2,5,8,2,1,NA,NA,NA,1000,2
26000,58,1,2,13,12,4,4,1,4,7,2,1,NA,NA,NA,820,1
62000,40,1,2,2,8,3,4,1,1,8,2,1,NA,NA,NA,1000,1
0,53,1,10,NA,11,2,2,9,17,2,10,5,NA,NA,NA,NA,4
56000,50,1,2,3,10,3,1,2,5,8,2,2,NA,NA,NA,NA,2
0,70,1,5,5,14,5,2,9,17,3,5,4,NA,NA,NA,360,3
31000,66,1,2,13,11,4,2,2,5,7,13,1,NA,NA,NA,1000,3
20000,57,1,2,NA,12,1,2,2,5,5,2,4,NA,NA,NA,500,2
16000,36,2,2,NA,8,1,4,3,5,4,2,4,NA,NA,NA,500,2
62000,45,1,2,3,9,3,3,2,2,8,2,1,3,0,0,1000,1
52000,50,2,2,2,10,3,3,2,5,8,2,1,NA,NA,NA,540,3
23000,22,2,8,8,5,5,2,7,7,5,8,4,NA,NA,NA,430,3
0,77,2,5,NA,16,2,4,9,17,7,5,2,NA,NA,NA,NA,2
42000,30,1,2,8,6,4,4,1,4,8,2,1,3,0,0,740,2
20000,57,1,2,4,11,4,NA,1,4,4,4,1,NA,NA,NA,600,1
0,71,2,5,NA,14,2,6,9,17,3,5,4,NA,NA,NA,300,3
18000,29,1,2,NA,6,1,3,6,10,4,2,1,NA,NA,NA,240,2
0,78,2,5,NA,16,2,6,9,17,6,5,4,NA,NA,NA,400,3
12000,45,2,4,2,9,4,4,6,10,3,4,4,NA,NA,NA,420,2
0,74,2,5,NA,15,2,5,9,17,3,5,4,NA,NA,NA,340,3
34000,36,2,2,2,8,3,4,1,4,8,2,1,3,1,0,250,1
46000,49,2,2,2,10,3,6,7,11,8,2,4,NA,NA,NA,320,2
15000,49,2,2,10,10,4,5,6,10,4,2,4,NA,NA,NA,360,3
11000,53,2,3,NA,11,1,6,7,11,3,3,4,NA,NA,NA,290,3
19000,26,1,2,4,6,4,1,5,8,4,2,2,NA,NA,NA,NA,2
18000,28,2,3,NA,6,1,5,5,10,6,3,4,1,0,0,340,3
0,75,1,5,5,15,5,6,9,17,3,5,2,NA,NA,NA,NA,2
0,60,2,10,NA,12,2,6,9,17,3,10,4,3,1,0,390,6
40000,35,1,2,3,7,3,1,5,8,8,2,3,1,1,0,1000,2
0,64,1,5,5,13,5,1,5,8,7,5,2,NA,NA,NA,NA,2
0,21,2,8,8,5,5,4,9,17,NA,8,4,1,0,0,650,2
0,77,2,5,NA,16,2,5,9,17,2,5,2,3,1,0,NA,3
0,60,2,5,NA,12,2,3,9,17,NA,5,2,3,1,0,NA,3
47000,26,2,4,2,6,4,1,2,5,8,4,4,NA,NA,NA,700,2
62000,47,1,2,4,7,4,3,7,9,8,4,4,NA,NA,NA,850,1
39000,33,2,2,2,7,3,4,2,5,7,2,4,3,1,0,500,3
20000,30,2,2,NA,6,1,4,3,6,4,2,4,NA,NA,NA,400,2
52000,34,1,2,4,7,4,4,5,9,8,4,1,NA,NA,NA,490,2
0,70,1,5,5,14,5,2,9,17,5,5,2,NA,NA,NA,NA,3
19000,33,2,2,NA,4,1,1,6,10,4,8,4,1,1,0,500,3
32000,25,1,2,2,5,3,1,6,10,7,2,4,NA,NA,NA,450,4
0,65,1,5,5,13,5,4,5,8,1,5,2,NA,NA,NA,NA,2
62000,54,1,2,3,11,3,4,1,5,8,2,1,NA,NA,NA,680,3
28000,26,1,2,1,6,3,1,2,5,6,2,1,NA,NA,NA,800,3
15000,51,2,2,NA,11,1,4,2,2,3,2,1,NA,NA,NA,600,2
0,81,1,5,NA,17,2,5,9,17,3,5,4,NA,NA,NA,300,2
0,71,1,5,5,14,5,4,9,17,2,5,2,NA,NA,NA,NA,2
22000,49,1,2,4,10,4,4,6,9,5,4,4,NA,NA,NA,740,2
4000,74,2,3,NA,15,1,4,7,11,3,3,4,NA,NA,NA,350,5
62000,42,2,2,2,9,3,3,2,2,8,2,1,NA,NA,NA,700,2
38000,35,1,2,8,7,4,4,1,4,7,2,4,NA,NA,NA,680,2
0,86,2,5,5,18,5,5,9,17,2,5,2,NA,NA,NA,NA,2
10000,43,2,1,NA,9,1,1,4,12,3,1,4,NA,NA,NA,430,4
0,80,1,5,NA,16,2,5,9,17,3,5,2,3,0,0,NA,1
0,75,2,5,NA,15,2,4,9,17,2,5,2,NA,NA,NA,NA,3
45000,51,1,2,1,11,3,NA,6,10,8,2,1,NA,NA,NA,750,2
0,86,1,5,5,17,5,4,9,17,6,5,2,3,0,0,NA,1
42000,37,1,2,2,7,3,2,7,9,8,2,1,NA,NA,NA,420,3
0,65,1,5,5,13,5,6,1,5,5,5,4,3,0,0,500,3
0,78,1,5,5,15,5,4,9,17,6,5,2,NA,NA,NA,NA,2
14000,42,2,2,NA,8,1,4,2,2,3,2,1,NA,NA,NA,240,3
49000,31,1,2,3,7,3,4,5,9,8,2,1,NA,NA,NA,900,2
0,86,2,5,NA,18,2,6,9,17,4,5,4,NA,NA,NA,350,2
0,56,1,10,NA,12,2,6,9,17,3,10,4,1,0,0,300,3
28000,51,2,2,NA,11,1,4,1,1,6,2,4,NA,NA,NA,390,3
62000,53,1,2,2,10,3,4,2,6,8,2,2,NA,NA,NA,NA,1
0,68,2,5,NA,14,2,4,9,17,3,5,2,NA,NA,NA,NA,1
0,75,2,5,NA,15,2,4,9,17,4,5,2,3,0,0,NA,1
11000,64,2,2,NA,13,1,4,2,2,3,2,2,NA,NA,NA,NA,3
51000,43,1,2,3,9,3,NA,1,4,8,3,1,NA,NA,NA,1000,4
49000,31,2,2,2,7,3,4,1,4,8,2,1,NA,NA,NA,650,3
43000,37,1,2,2,8,3,4,1,4,8,2,1,NA,NA,NA,640,2
17000,65,2,2,NA,13,1,4,3,6,4,2,1,3,1,0,500,1
0,71,2,5,5,15,5,1,9,17,5,5,4,NA,NA,NA,650,3
20000,67,2,3,5,17,4,1,6,6,8,5,2,3,0,0,NA,1
0,80,1,5,5,16,5,5,9,17,6,5,2,NA,NA,NA,NA,2
0,77,2,5,NA,16,2,4,9,17,7,5,2,NA,NA,NA,NA,1
0,71,1,5,5,15,5,1,9,17,6,5,2,3,0,0,NA,2
30000,34,1,2,3,7,3,1,1,5,7,3,1,NA,NA,NA,330,3
62000,39,1,2,2,8,3,4,1,4,8,2,1,3,0,0,1000,1
0,69,1,5,5,14,5,1,2,5,5,5,2,NA,NA,NA,NA,3
10000,80,1,3,5,16,4,4,2,5,7,3,2,NA,NA,NA,NA,2
12000,70,1,1,5,14,4,6,2,2,6,5,2,NA,NA,NA,NA,1
0,84,1,5,5,17,5,5,9,17,5,5,2,3,0,0,NA,2
62000,47,1,2,4,9,4,4,3,6,8,4,1,NA,NA,NA,1000,1
30000,60,2,2,NA,12,1,4,2,5,6,2,4,NA,NA,NA,760,2
51000,63,1,3,2,13,3,1,2,5,8,3,1,3,1,0,1000,1
52000,47,2,2,2,10,3,4,2,2,8,2,1,NA,NA,NA,800,2
62000,35,1,2,2,8,3,2,2,5,8,2,1,NA,NA,NA,850,1
30000,49,1,2,NA,10,1,3,3,6,6,2,1,NA,NA,NA,380,1
0,55,1,6,NA,11,2,4,6,10,NA,6,2,NA,NA,NA,NA,2
0,68,2,5,5,14,5,6,9,17,3,5,4,2,0,0,400,3
0,64,2,5,NA,13,2,4,9,17,5,5,4,1,0,0,380,3
62000,46,1,2,3,10,3,1,2,2,8,2,1,3,1,0,700,2
41000,36,1,2,1,7,3,2,5,8,8,1,4,NA,NA,NA,360,2
0,81,2,5,NA,17,2,6,9,17,1,5,4,NA,NA,NA,330,3
0,86,2,5,NA,18,2,6,9,17,2,5,2,3,1,0,NA,3
62000,55,1,2,2,12,3,2,5,9,8,2,1,NA,NA,NA,240,1
0,50,1,10,NA,10,2,1,9,17,4,10,4,NA,NA,NA,330,3
36000,45,1,2,2,9,3,4,1,5,7,2,2,3,1,0,NA,2
40000,66,1,2,5,15,4,NA,2,2,8,5,2,5,0,0,NA,1
18000,58,2,2,NA,12,1,1,6,6,4,2,2,3,0,0,NA,3
0,67,2,5,NA,14,2,1,2,5,4,5,2,5,0,0,NA,2
14000,32,2,2,NA,7,1,3,2,5,3,2,1,NA,NA,NA,240,1
50000,23,2,2,2,5,3,4,2,5,8,2,1,3,0,1,500,2
0,77,2,5,NA,16,2,5,9,17,5,5,2,NA,NA,NA,NA,2
0,69,1,5,5,14,5,1,6,9,5,5,2,3,0,0,NA,2
0,65,1,5,NA,13,2,1,6,9,NA,5,2,NA,NA,NA,NA,2
0,85,1,5,NA,17,2,6,9,17,2,5,2,NA,NA,NA,NA,2
0,69,1,5,NA,14,2,1,9,17,4,5,2,NA,NA,NA,NA,2
17000,54,2,2,NA,11,1,NA,6,10,4,2,2,2,0,0,NA,2
62000,46,1,2,2,10,3,2,1,5,8,2,1,NA,NA,NA,800,1
0,71,1,5,4,15,5,2,5,9,6,5,2,NA,NA,NA,NA,1
42000,48,1,2,2,9,3,2,6,10,8,2,1,NA,NA,NA,580,2
33000,28,1,2,2,6,3,4,2,5,7,2,1,NA,NA,NA,500,2
16000,34,1,2,NA,7,1,4,1,5,4,2,4,NA,NA,NA,600,1
0,74,1,5,NA,15,2,6,9,17,3,5,4,NA,NA,NA,240,4
0,76,2,5,NA,16,2,6,9,17,3,5,2,NA,NA,NA,NA,3
37000,59,1,2,3,12,3,1,5,10,8,2,2,NA,NA,NA,NA,3
0,39,1,8,4,7,5,4,6,10,NA,4,4,NA,NA,NA,600,3
0,69,2,5,NA,14,2,4,9,17,2,5,2,3,0,0,NA,2
0,74,1,5,5,15,5,6,9,17,4,5,2,NA,NA,NA,NA,2
30000,33,2,2,2,7,3,2,3,6,6,2,1,NA,NA,NA,300,2
0,81,1,5,5,17,5,4,9,17,4,5,2,3,0,0,NA,1
47000,42,1,2,1,9,3,4,1,5,8,1,1,NA,NA,NA,960,3
62000,30,1,2,2,6,3,3,2,5,8,2,1,NA,NA,NA,1000,1
62000,39,2,1,2,8,3,4,2,5,8,1,1,NA,NA,NA,1000,1
62000,35,1,2,4,7,4,4,5,9,8,4,4,3,0,0,1000,2
0,65,1,5,5,13,5,4,9,17,6,5,2,3,0,0,NA,2
0,73,2,5,NA,15,2,4,9,17,3,5,2,NA,NA,NA,NA,2
0,62,1,5,5,13,5,2,2,5,3,5,2,NA,NA,NA,NA,1
0,69,2,5,NA,14,2,NA,9,17,1,5,4,NA,NA,NA,300,5
0,67,1,5,5,14,5,4,9,17,8,5,2,NA,NA,NA,NA,1
24000,51,2,2,NA,11,1,4,2,5,5,2,1,3,0,0,310,3
60000,46,1,2,4,10,4,4,1,4,8,2,1,NA,NA,NA,940,2
30000,44,2,1,2,9,3,NA,4,12,6,1,1,NA,NA,NA,240,2
0,74,2,5,NA,15,2,6,9,17,3,5,4,NA,NA,NA,430,3
0,67,2,5,NA,14,2,6,9,17,2,5,2,NA,NA,NA,NA,3
0,72,1,5,5,15,5,6,2,2,6,5,2,NA,NA,NA,NA,2
0,84,1,5,5,17,5,4,9,17,3,5,2,NA,NA,NA,NA,3
0,39,1,6,NA,8,2,2,9,17,3,6,4,2,0,0,280,3
17000,22,2,2,NA,5,1,2,5,10,4,2,5,3,1,0,NA,3
42000,54,1,2,2,11,3,2,3,6,8,2,1,3,1,0,300,3
14000,70,1,3,NA,14,1,6,6,10,6,3,4,3,0,0,330,3
0,66,1,1,5,14,4,NA,4,12,NA,5,2,NA,NA,NA,NA,1
60000,54,1,2,3,11,3,2,5,8,8,3,2,NA,NA,NA,NA,1
0,80,1,5,NA,16,2,1,9,17,3,5,4,NA,NA,NA,270,3
34000,59,1,1,3,11,3,1,4,14,7,3,2,NA,NA,NA,NA,3
0,86,1,5,5,18,5,6,9,17,5,5,2,NA,NA,NA,NA,3
15000,24,1,2,NA,5,1,6,6,9,3,2,4,1,0,0,450,4
33000,44,2,2,2,9,3,6,7,9,7,2,4,NA,NA,NA,290,3
9000,46,1,1,10,10,4,6,4,13,6,1,1,NA,NA,NA,550,2
18000,30,2,13,6,6,5,6,5,9,8,13,4,2,1,1,380,3
0,51,2,13,NA,11,2,1,9,17,4,10,4,NA,NA,NA,330,3
0,85,2,5,NA,17,2,6,9,17,3,5,2,3,0,0,NA,2
34000,62,1,2,3,13,3,1,3,6,7,2,2,3,0,0,NA,2
0,26,2,10,NA,6,2,6,6,10,3,10,4,1,0,0,270,5
27000,50,1,2,6,10,4,2,6,10,7,6,4,3,0,0,470,4
34000,27,1,2,3,6,3,6,7,9,7,3,4,2,0,0,650,3
12000,40,2,1,NA,8,1,6,7,11,7,1,4,NA,NA,NA,400,3
0,71,2,5,NA,15,2,6,9,17,2,5,4,2,0,0,450,3
53000,48,1,1,3,10,3,1,5,8,8,1,2,NA,NA,NA,NA,1
41000,37,1,2,3,8,3,4,2,2,8,2,1,NA,NA,NA,450,1
24000,59,1,1,4,12,4,3,4,12,5,4,2,NA,NA,NA,NA,1
46000,48,1,1,2,10,3,4,4,12,8,1,1,NA,NA,NA,800,3
26000,50,2,3,6,10,4,2,6,10,7,3,1,NA,NA,NA,250,3
8000,55,1,2,10,11,4,4,2,5,5,10,2,NA,NA,NA,NA,2
0,67,1,5,NA,14,2,1,5,9,4,5,2,NA,NA,NA,NA,1
13000,25,1,2,NA,5,1,1,5,8,3,2,4,1,0,0,280,3
0,68,2,5,NA,14,2,6,9,17,4,5,4,NA,NA,NA,360,3
19000,33,1,6,2,7,4,6,9,17,4,6,4,NA,NA,NA,380,3
0,80,1,5,5,16,5,1,9,17,5,5,2,NA,NA,NA,NA,2
56000,42,1,2,3,9,3,3,5,9,8,3,1,3,1,0,850,3
